86,Rocky,"$503,524,267 ","$117,235,147 ","55,040,000",1976
87,The Best Years of Our Lives,"$503,158,333 ","$23,650,000 ","55,000,000",1946
88,Star Wars: Episode IX - The Rise of Skywalker,"$503,014,704 ","$515,202,542 ","54,984,300",2019
89,The Poseidon Adventure,"$502,261,797 ","$84,563,118 ","54,902,000",1972
90,The Lord of the Rings: The Fellowship of the Ring,"$501,323,178 ","$316,115,420 ","54,799,400",2001
91,Twister,"$500,304,968 ","$241,830,615 ","54,688,100",1996
92,Men in Black,"$499,651,777 ","$250,690,539 ","54,616,700",1997
93,The Bridge on the River Kwai,"$497,669,333 ","$27,200,000 ","54,400,000",1957
94,Transformers: Revenge of the Fallen,"$493,103,400 ","$402,111,870 ","53,900,900",2009
95,It's a Mad Mad Mad Mad World,"$492,870,118 ","$46,332,858 ","53,875,400",1963
96,Swiss Family Robinson,"$492,253,520 ","$40,356,000 ","53,808,000",1960
97,One Flew Over the Cuckoo's Nest,"$491,131,934 ","$108,981,275 ","53,685,400",1975
98,M*A*S*H,"$491,120,956 ","$81,600,000 ","53,684,200",1970
99,Indiana Jones and the Temple of Doom,"$489,735,899 ","$179,870,271 ","53,532,800",1984
100,Star Wars: Episode II - Attack of the Clones,"$489,147,661 ","$310,676,740 ","53,468,500",2002
101,Avengers: Age of Ultron,"$488,076,391 ","$459,005,868 ","53,351,400",2015
102,Toy Story 3,"$487,966,611 ","$415,004,880 ","53,339,400",2010
103,Mrs. Doubtfire,"$481,974,453 ","$219,195,243 ","52,684,400",1993
104,Aladdin,"$479,759,641 ","$217,350,219 ","52,442,300",1992
105,Ghost,"$470,820,805 ","$217,631,306 ","51,465,200",1990
106,The Hunger Games: Catching Fire,"$467,613,399 ","$424,668,047 ","51,114,600",2013
107,Duel in the Sun,"$466,751,626 ","$20,408,163 ","51,020,400",1946
108,Frozen II,"$466,080,138 ","$477,373,578 ","50,947,000",2019
109,The Hunger Games,"$465,314,423 ","$408,010,692 ","50,863,300",2012
110,Pirates of the Caribbean: The Curse of the Black Pearl,"$463,353,020 ","$305,413,918 ","50,648,900",2003
111,House of Wax,"$462,282,665 ","$23,750,000 ","50,531,900",1953
112,Rear Window,"$460,661,580 ","$36,764,313 ","50,354,700",1954
113,The Lost World: Jurassic Park,"$456,593,317 ","$229,086,679 ","49,910,000",1997
114,"Monsters, Inc.","$452,157,290 ","$290,642,256 ","49,425,100",2001
115,Indiana Jones and the Last Crusade,"$452,078,614 ","$197,171,806 ","49,416,500",1989
116,Frozen,"$448,852,912 ","$400,953,009 ","49,063,900",2013
117,Spider-Man 3,"$447,484,321 ","$336,530,303 ","48,914,300",2007
118,Iron Man 3,"$446,889,679 ","$409,013,994 ","48,849,300",2013
119,Terminator 2: Judgment Day,"$446,188,002 ","$205,881,154 ","48,772,600",1991
120,Harry Potter and the Deathly Hallows: Part 2,"$441,015,535 ","$381,447,587 ","48,207,200",2011
121,Toy Story 4,"$440,663,324 ","$434,038,008 ","48,168,700",2019
122,How the Grinch Stole Christmas,"$440,384,300 ","$260,715,005 ","48,138,200",2000
123,Sergeant York,"$440,247,075 ","$16,361,885 ","48,123,200",1941
124,Top Gun,"$439,397,194 ","$180,258,178 ","48,030,300",1986
125,Toy Story,"$438,940,693 ","$223,225,679 ","47,980,400",1995
126,Toy Story 2,"$437,624,247 ","$245,852,179 ","47,836,500",1999
127,Captain Marvel,"$433,383,080 ","$426,829,839 ","47,372,900",2019
128,Shrek,"$432,630,172 ","$268,163,011 ","47,290,600",2001
129,Shrek the Third,"$429,120,872 ","$322,719,944 ","46,907,000",2007
130,Despicable Me 2,"$429,002,858 ","$368,065,385 ","46,894,100",2013
131,Captain America: Civil War,"$427,732,155 ","$408,084,349 ","46,755,200",2016
132,The Matrix Reloaded,"$427,189,658 ","$281,576,461 ","46,695,900",2003
133,Transformers,"$424,501,878 ","$319,246,193 ","46,402,100",2007
134,Crocodile Dundee,"$422,675,871 ","$174,803,506 ","46,202,500",1986
135,Wonder Woman,"$422,126,056 ","$412,845,172 ","46,142,400",2017
136,Jurassic World: Fallen Kingdom,"$420,312,856 ","$417,719,760 ","45,944,200",2018
137,The Four Horsemen of the Apocalypse,"$420,076,829 ","$9,183,673 ","45,918,400",1921
138,Saving Private Ryan,"$419,026,601 ","$217,049,603 ","45,803,600",1998
139,Young Frankenstein,"$417,596,716 ","$86,273,333 ","45,647,300",1974
140,Peter Pan,"$417,378,986 ","$87,404,651 ","45,623,500",1953
141,Gremlins,"$416,374,499 ","$153,642,180 ","45,513,700",1984
142,Harry Potter and the Goblet of Fire,"$415,273,954 ","$290,469,928 ","45,393,400",2005
143,Beauty and the Beast,"$415,002,249 ","$218,967,620 ","45,363,700",1991
144,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$413,286,936 ","$291,710,957 ","45,176,200",2005
145,Harry Potter and the Chamber of Secrets,"$412,959,426 ","$262,641,637 ","45,140,400",2002
146,Pirates of the Caribbean: At World's End,"$411,436,228 ","$309,420,425 ","44,973,900",2007
147,The Fugitive,"$406,161,299 ","$183,875,760 ","44,397,300",1993
148,Iron Man,"$406,110,984 ","$319,034,126 ","44,391,800",2008
149,The Caine Mutiny,"$406,074,390 ","$21,750,000 ","44,387,800",1954
150,Transformers: Dark of the Moon,"$404,913,467 ","$352,390,543 ","44,260,900",2011
151,Meet the Fockers,"$404,109,328 ","$279,261,160 ","44,173,000",2004
152,Indiana Jones and the Kingdom of the Crystal Skull,"$404,031,567 ","$317,101,119 ","44,164,500",2008
153,Jumanji: Welcome to the Jungle,"$403,733,332 ","$404,540,171 ","44,131,900",2017
154,2001: A Space Odyssey,"$399,991,663 ","$60,481,243 ","43,722,900",1968
155,Dances with Wolves,"$399,775,763 ","$184,208,848 ","43,699,300",1990
156,An Officer and a Gentleman,"$399,387,873 ","$129,795,554 ","43,656,900",1982
157,Guardians of the Galaxy Vol. 2,"$398,469,381 ","$389,813,101 ","43,556,500",2017
158,Spider-Man: Far from Home,"$396,491,511 ","$390,532,085 ","43,340,300",2019
159,Rain Man,"$396,046,902 ","$172,825,435 ","43,291,700",1988
160,The Secret Life of Pets,"$395,883,147 ","$368,384,330 ","43,273,800",2016
161,Guess Who's Coming to Dinner,"$395,729,455 ","$56,666,667 ","43,257,000",1967
162,American Sniper,"$394,110,200 ","$350,159,020 ","43,080,000",2014
163,Kramer vs. Kramer,"$393,563,130 ","$106,260,000 ","43,020,200",1979
164,Armageddon,"$393,199,026 ","$201,578,182 ","42,980,400",1998
165,Psycho,"$390,329,194 ","$32,000,000 ","42,666,700",1960
166,Harry Potter and the Order of the Phoenix,"$390,214,840 ","$292,382,727 ","42,654,200",2007
167,Inside Out,"$389,376,852 ","$356,921,711 ","42,562,600",2015
168,Rocky III,"$388,924,925 ","$125,049,125 ","42,513,200",1982
169,Rambo: First Blood Part II,"$387,619,457 ","$150,415,432 ","42,370,500",1985
170,Batman Forever,"$387,067,813 ","$184,069,126 ","42,310,200",1995
171,Deadpool,"$386,910,462 ","$363,070,709 ","42,293,000",2016
172,Pretty Woman,"$385,843,766 ","$178,406,268 ","42,176,400",1990
173,Earthquake,"$385,617,802 ","$79,666,653 ","42,151,700",1974
174,Alice in Wonderland,"$385,163,130 ","$334,191,110 ","42,102,000",2010
175,The Incredibles,"$384,504,450 ","$261,441,092 ","42,030,000",2004
176,Cast Away,"$383,262,106 ","$233,632,142 ","41,894,200",2000
177,Home Alone 2: Lost in New York,"$382,854,091 ","$173,585,516 ","41,849,600",1992
178,The Jungle Book,"$381,583,387 ","$364,001,123 ","41,710,700",2016
179,Three Men and a Baby,"$381,520,264 ","$167,780,960 ","41,703,800",1987
180,My Big Fat Greek Wedding,"$378,919,392 ","$241,438,208 ","41,419,500",2002
181,Guardians of the Galaxy,"$377,235,184 ","$333,718,600 ","41,235,400",2014
182,Furious 7,"$375,299,397 ","$353,007,020 ","41,023,800",2015
183,Mission: Impossible,"$374,588,571 ","$180,981,856 ","40,946,100",1996
184,The Hunger Games: Mockingjay - Part 1,"$372,583,257 ","$337,135,885 ","40,726,900",2014
185,Minions,"$372,467,073 ","$336,045,770 ","40,714,200",2015
186,Harry Potter and the Half-Blood Prince,"$372,177,071 ","$302,334,374 ","40,682,500",2009
187,Saturday Night Fever,"$371,465,330 ","$94,213,184 ","40,604,700",1977
188,On Golden Pond,"$371,278,704 ","$119,285,432 ","40,584,300",1981
189,Austin Powers: The Spy Who Shagged Me,"$371,048,166 ","$206,040,086 ","40,559,100",1999
190,Harry Potter and the Prisoner of Azkaban,"$369,640,238 ","$250,105,651 ","40,405,200",2004
191,Bruce Almighty,"$368,405,213 ","$242,829,261 ","40,270,200",2003
192,Funny Girl,"$366,294,692 ","$52,223,306 ","40,039,500",1968
193,Mission: Impossible II,"$365,610,397 ","$215,409,889 ","39,964,700",2000
194,Rush Hour 2,"$365,552,763 ","$226,164,286 ","39,958,400",2001
195,Apollo 13,"$364,631,525 ","$173,837,933 ","39,857,700",1995
196,Patton,"$364,456,792 ","$61,749,765 ","39,838,600",1970
197,Fatal Attraction,"$363,012,270 ","$156,645,693 ","39,680,700",1987
198,Iron Man 2,"$362,898,831 ","$312,433,331 ","39,668,300",2010
199,Zootopia,"$362,329,805 ","$341,268,248 ","39,606,100",2016
200,Liar Liar,"$361,569,578 ","$181,410,615 ","39,523,000",1997
