,State,Date,Text
45,Delaware,18-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 18, 2023October 19-20, 2023 - Half-Staff Alert - DelawareGovernor John Carney has ordered Delaware flags to be lowered to half-staff at all state facilities on Thursday, October 19, 2023, until end of day Friday, October 20, 2023, to honor Delaware Capitol
                    …Continue Reading"
46,Wisconsin,13-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 13, 2023October 7 & 14, 2023 - Half-Staff Alert - WisconsinAs previously announced, on Sat., Oct. 7, 2023, and Sat., Oct. 14, 2023, the flags of the United States and the state of Wisconsin will be flown at half-staff coinciding with the Final Alarm Ceremony
                    …Continue Reading"
47,Georgia,11-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 11, 2023October 11-14, 2023 - Half Staff Alert - GeorgiaGovernor Kemp ordered U.S. & Georgia flags to half-staff at all state buildings October 11-14, 2023 to honor lives lost in Israel.
                    …Continue Reading"
48,Washington,11-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 11, 2023October 12, 2023 - Half Staff Alert - WashingtonGovernor
Inslee is deeply saddened by the violent attack against Israel committed on
Saturday, October 7th by Hamas, which has caused death, injury, and suffering
abroad as well as heartache and so
                    …Continue Reading"
49,Delaware,11-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 11, 2023October 11-13, 2023 - Half-Staff Alert - DelawareGovernor John Carney has ordered Delaware flags to be lowered to half-staff at all state facilities on Wednesday, October 11, 2023 until sunset on Friday, October 13, 2023 to honor those who have lost
                    …Continue Reading"
50,Minnesota,11-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 11, 2023October 11-14, 2023 - Half-Staff Alert - MinnesotaGovernor
Tim Walz has ordered all United States and Minnesota flags to fly at half-staff
at all state buildings in the State of Minnesota effective immediately until
sunset on Saturday, October 14,
                    …Continue Reading"
51,Idaho,10-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 10, 2023October 10-13, 2023 - Half-Staff Alert - IdahoGovernor
Brad Little has ordered both the
U.S. and State of Idaho flags be flown at half-staff immediately
to honor the people who lost their lives – including American citizens – in the
attacks c
                    …Continue Reading"
52,Montana,10-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 10, 2023October 11-16, 2023 - Half Staff Alert - MontanaGovernor Greg Gianforte has ordered all flags in the State of
Montana to be flown at half-staff from sunrise on Wednesday, October 11, 2023,
until sunset on Monday, October 16, 2023, in memory of th
                    …Continue Reading"
53,Connecticut,10-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 10, 2023October 10-14, 2023 - Half-Staff Alert - ConnecticutGovernor Ned Lamont today announced that he is directing U.S. and State of Connecticut flags lowered to half-staff in recognition and in mourning of the lives lost from the recent terrorist attacks in
                    …Continue Reading"
54,Pennsylvania,10-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 10, 2023October 10-13, 2023 - Half-Staff Alert - PennsylvaniaToday, Governor Josh Shapiro ordered United States and Commonwealth flags on all Commonwealth facilities, public buildings, and grounds to immediately fly at half-staff from Tuesday, October 10, 2023,
                    …Continue Reading"
55,Utah,10-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 10, 2023October 10-13, 2023 - Half-Staff Alert - UtahUtah Gov. Spencer J. Cox has issued an order for the flags of the United States of America and the great state of Utah to be flown at half-staff on all state facilities in solidarity with the State of
                    …Continue Reading"
56,Florida,10-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 10, 2023October 10-13, 2023 - Half Staff Alert - FloridaOn October 7, the Jewish holiday of Simchat Torah, Hamas terrorists launched a violent attack on the State of Israel and the Jewish people. As of today, there have been at least 900 deaths, including
                    …Continue Reading"
57,Nevada,10-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 10, 2023October 10-14, 2023 - Half-Staff Alert - NevadaToday, Governor Joe Lombardo announced that he would lower the flags to half-staff and light the Nevada State Capitol Building blue in honor of the victims of the terror attacks in Israel.Per Governor
                    …Continue Reading"
58,Kentucky,10-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 10, 2023October 10-13, 2023 - Half-Staff Alert - KentuckyGov. Andy Beshear has ordered flags
at all state office buildings to be lowered to half-staff from sunrise Tuesday,
Oct. 10, to sunset Friday, Oct. 13, to honor the innocent lives lost during the
t
                    …Continue Reading"
59,Nebraska,10-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 10, 2023October 10-12, 2023 - Half Staff Alert - NebraskaToday, Governor Jim Pillen announced that all U.S. and Nebraska flags are to be flown at half-staff beginning Tuesday, October 10, 2023, at sunrise to honor the victims of the deadly terrorism attacks
                    …Continue Reading"
60,Wyoming,10-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 10, 2023October 9-13, 2023 - Half-Staff Alert - WyomingGovernor Mark Gordon has ordered both the U.S. and State of
Wyoming flag be flown at half-staff immediately
to honor those who lost their lives – including American citizens – in the
attacks commit
                    …Continue Reading"
61,Oklahoma,9-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 09, 2023October 9-10, 2023 - Half Staff Alert - OklahomaGovernor Kevin Stitt today issued Executive Order 2023-27, directing all American and Oklahoma flags on state property to be flown at half-staff as a show of support for the nation of Israel. Flags wi
                    …Continue Reading"
62,Texas,9-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 09, 2023October 9-14, 2023 - Half Staff Alert - TexasPursuant to Chapter 3100 of the Texas Government Code,
flags of the State of Texas on all state buildings, facilities, and offices are
ordered to half-staff immediately to honor those who lost their
                    …Continue Reading"
63,Alabama,9-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 09, 2023October 9-13, 2023 - Half Staff Alert - AlabamaGovernor Ivey ordered flags to half-staff October 9-13, 2023 to honor the lives lost in Israel.
                    …Continue Reading"
64,Montana,9-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 09, 2023October 10-13, 2023 - Half Staff Alert - MontanaGovernor Greg Gianforte has ordered all flags in the State of Montana be flown at half-staff on Tuesday, October 10, 2023, until sunset Friday, October 13, 2023, to honor the memory of Montana Governo
                    …Continue Reading"
65,Tennessee,9-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 09, 2023October 9-13, 2023 - Half Staff Alert - TennesseeBy order of Governor Bill Lee, flags over the State Capitol and all State office buildings shall be flown at half-staff effective immediately until sunset on Friday, October 13, 2023, in remembrance o
                    …Continue Reading"
66,Indiana,9-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 09, 2023October 9-15, 2023 - Half-Staff Alert - IndianaGovernor Holcomb has ordered U.S. & Indiana flags to half-staff October 9-15, 2023 to honor the lives lost in Israel."
67,Ohio,9-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 09, 2023October 10-13, 2023 - Half-Staff Alert - OhioIn response to the unprovoked attack and invasion of Israel, Ohio Governor Mike DeWine has ordered the flags of the United States and the State of Ohio to be flown at half-staff upon all public buildi
                    …Continue Reading"
68,Mississippi,9-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 09, 2023October 9-10, 2023 - Half-Staff Alert - MississippiGovernor Reeves ordered U.S. & Mississippi flags in to half-staff October 9-10, 2023 to honor lives lost in Israel.
                    …Continue Reading"
69,Iowa,9-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 09, 2023October 9-15, 2023 - Half-Staff Alert - IowaGov. Kim
Reynolds ordered all flags in Iowa to be lowered to half-staff immediately
on Monday, October 9, and remain at half-staff until sunset on Sunday, October
15, 2023, to honor the lives lost
                    …Continue Reading"
70,Arkansas,9-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 09, 2023October 9-13, 2023 - Half-Staff Alert - ArkansasGovernor Sarah Huckabee Sanders, in mourning for the Israeli lives lost, in support of Israel in this war, and as an expression of Arkansas’ complete solidarity with the Israeli cause, has hereby dire
                    …Continue Reading"
71,Virginia,9-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 09, 2023October 8-15, 2023 - Half-Staff-Alert - VirginiaIn accordance with the authority vested in me as Governor, I
hereby order that the flags of the United States of America and the
Commonwealth of Virginia be flown at half-staff on all state and loca
                    …Continue Reading"
72,Colorado,6-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 06, 2023September 29, 2023 - October 9, 2023 - Half Staff Alert - ColoradoToday, Governor Polis ordered flags to be lowered half-staff on all public buildings from sunrise today until sunset on the day of the funeral, in honor of  Christine Guerin Sandoval, a Colorado Sprin
                    …Continue Reading"
73,Oregon,6-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 06, 2023October 6-7, 2023 - Half Staff Alert - OregonToday,
Governor Tina Kotek ordered flags at Oregon public institutions to be flown at
half-staff immediately in honor and remembrance of Air Force Airman Trinity
Reinhart, pursuant of her authority
                    …Continue Reading"
74,Tennessee,5-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 05, 2023October 6, 2023 - Half Staff Alert - TennesseeBy order of Governor Bill Lee and in accordance with the
Honoring Hometown Heroes Act, flags over the State Capitol and all State office
buildings will be flown at half-staff from sunrise until suns
                    …Continue Reading"
75,Oklahoma,4-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 04, 2023October 4, 2023 - Half Staff Alert - OklahomaGovernor Kevin Stitt issued Executive Order 2023-26, directing all American and Oklahoma flags on state property to be flown at half-staff today to honor the life and legacy of Ringling Police Captain
                    …Continue Reading"
76,Maryland,2-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 02, 2023October 2, 2023 - Half-Staff Alert - MarylandGovernor Wes Moore has ordered the Maryland flag to be lowered to half-staff from sunrise to sunset tomorrow, Monday, October 2, in honor of the life and legacy of Baltimore Orioles legend Brooks Robi
                    …Continue Reading"
77,Kentucky,1-Oct-23,"Posted by Half-Staff Alerts Staff on Oct 01, 2023October 1, 2023 - Half-Staff Alert - KentuckyGov. Andy Beshear has ordered flags
at all state buildings to be lowered to half-staff from sunrise to sunset
Sunday, Oct. 1, in honor of a Kentucky soldier who died in World War II, but
whose rema
                    …Continue Reading"
78,Pennsylvania,29-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 29, 2023September 20-29, 2023 - Half-Staff Alert - PennsylvaniaCommonwealth flags on all Commonwealth facilities, public buildings, and grounds in Philadelphia County currently flying at half-staff in honor of Temple University's Acting President JoAnne A. Epps s
                    …Continue Reading"
79,Maryland,29-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 29, 2023September 29, 2023 - Half-Staff Alert - MarylandPer United States Code, Title 4, Chapter 1, Section
7, the United States Flag shall be flown at half-staff
effective immediately and returned to full-staff at midnight tonight, Friday,
September 29
                    …Continue Reading"
80,Indiana,29-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 29, 2023September 29, 2023 - Half-Staff Alert - IndianaGovernor Holcomb has ordered U.S. & Indiana flags in Marion & Johnson counties to half-staff September 29, 2023 to honor State Senator Jack E. Sandlin."
81,Virginia,28-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 28, 2023September 28, 2023 - Half Staff Alert - West VirginiaGov. Jim Justice has issued a proclamation, ordering all United States and West Virginia flags at the Capitol Complex and all state-owned facilities in Cabell County be displayed at half-staff, from d
                    …Continue Reading"
82,Florida,22-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 22, 2023September 23, 2023 - Half Staff Alert - FloridaOn August 20, 2023, Former Representative Dale Patchett passed away at the age of 73. He served as a representative in the Florida House for roughly 14 years, from 1976 to 1990. Patchett represented D
                    …Continue Reading"
83,Kentucky,22-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 22, 2023September 19-26, 2023 - Half-Staff Alert - KentuckyGov. Andy Beshear yesterday
announced the death of former Kentucky Gov. Brereton Jones. The 58th Governor
of the commonwealth, Jones served from 1991 to 1995. Prior to becoming
Governor, he served
                    …Continue Reading"
84,Kentucky,22-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 22, 2023September 23, 2023 - Half-Staff Alert - KentuckyGov. Andy Beshear has ordered flags
at all state buildings to be lowered to half-staff from sunrise to sunset on
Saturday, Sept. 23, in honor of a Kentucky soldier who was killed in the
European Th
                    …Continue Reading"
85,Minnesota,22-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 22, 2023September 24, 2023 - Half-Staff Alert - MinnesotaGovernor
Tim Walz today directed all United States and Minnesota flags at state
buildings to be flown at half-staff from sunrise until sunset on Sunday,
September 24, to honor firefighters who have
                    …Continue Reading"
86,Wyoming,18-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 18, 2023September 20 2023 - Half-Staff Alert - WyomingGovernor
Mark Gordon has ordered the Wyoming State Flag be flown at half staff at the
Capitol in Cheyenne and in Big Horn and Park Counties from sunrise to sunset on
September 20 in honor and memor
                    …Continue Reading"
87,California,17-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 17, 2023September 17, 2023 - Half Staff Alert - CaliforniaGovernor Gavin Newsom and Acting Governor Eleni Kounalakis today issued the following statement regarding the death of Los Angeles County Sheriff’s Deputy Ryan Clinkunbroomer:“On behalf of all Califor
                    …Continue Reading"
88,Illinois,15-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 15, 2023September 21-23, 2023 - Half Staff Alert - IllinoisThe Department of
Central Management Services has received notice from Governor JB Pritzker
that all person or entities covered by the Illinois Flag Display Act are to fly the flags
at ha
                    …Continue Reading"
89,Wyoming,15-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 15, 2023September 19, 2023 - Half-Staff Alert - WyomingGovernor
Mark Gordon has ordered the Wyoming State Flag be flown at half staff at the
Capitol in Cheyenne and in Crook County from sunrise to sunset on September 19
in honor and memory of Nels Smit
                    …Continue Reading"
90,Connecticut,15-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 15, 2023September 9-16, 2023 - Half-Staff Alert - ConnecticutGovernor Ned Lamont today announced that he is directing U.S. and state flags in Connecticut to return to full-staff at sunset on the evening of Saturday, September 16, 2023.Flags have been lowered to
                    …Continue Reading"
91,Iowa,14-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 14, 2023September 15, 2023 - Half-Staff Alert - IowaGov. Kim
Reynolds ordered all flags in Iowa to be lowered to half-staff from sunrise to
sunset on Friday, September 15, 2023, in honor and remembrance of Kevin Cram of
the Algona Police Department
                    …Continue Reading"
92,Delaware,14-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 14, 2023September 15, 2023 - Half-Staff Alert - DelawareNational POW/MIA Recognition Day is Friday, September 15, 2023.Delaware Code (Title 29, Section 408) requires Delaware State agencies, including all public schools, to display a POW/MIA flag on its gr
                    …Continue Reading"
93,Virginia,14-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 14, 2023September 15, 2023 - Half-Staff-Alert - VirginiaIn accordance with the authority vested in me as Governor, I
hereby order that the flags of the United States of America, the POW/MIA and
the Commonwealth of Virginia flags be flown on all local, st
                    …Continue Reading"
94,Illinois,12-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 12, 2023September 11-12, 2023 - Half Staff Alert - IllinoisThe Department of
Central Management Services has received notice from Governor JB Pritzker
that all person or entities covered by the Illinois Flag Display Act are to fly the flags
at ha
                    …Continue Reading"
95,Illinois,11-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 11, 2023September 9-11, 2023 - Half Staff Alert - IllinoisThe Department of Central Management Services has received notice from
Governor JB Pritzker that all person or entities covered by the Illinois Flag Display Act
are to fly the flags at half-staff in
                    …Continue Reading"
96,Pennsylvania,8-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 08, 2023August 28, 2023 - September 8, 2023 - Half-Staff Alert - PennsylvaniaToday,
Governor Josh Shapiro ordered the United States and Commonwealth flags on all
Commonwealth facilities, public buildings, and grounds in Northampton County to
immediately fly at half-staff in
                    …Continue Reading"
97,Michigan,8-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 08, 2023September 9, 2023 - Half Staff Alert - MichiganToday, Governor Gretchen Whitmer has ordered U.S. and
Michigan flags within the State Capitol Complex and across all public buildings
and grounds to be lowered to half-staff on Saturday, September 9
                    …Continue Reading"
98,Florida,7-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 07, 2023September 7-8, 2023 - Half Staff Alert - FloridaGovernor DeSantis ordered U.S. & Flroida flags to half-staff at the State Capitol and in select location in Monroe County September 7-8, 2023 to honor Jimmy Buffett.
                    …Continue Reading"
99,Mississippi,7-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 07, 2023September 9, 2023 - Half-Staff Alert - MississippiGovernor Reeves ordered U.S. & Mississippi flags in to half-staff September 9, 2023 to honor Officer Michael Elaine ""Mike"" Griffin.
                    …Continue Reading"
100,Minnesota,6-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 06, 2023September 8-9, 2023 - Half-Staff Alert - MinnesotaGovernor
Tim Walz has ordered all United States and Minnesota flags to fly at half-staff
at all state buildings in the State of Minnesota from sunrise on Friday,
September 8, to sunset on Saturday,
                    …Continue Reading"
101,Tennessee,6-Sep-23,"Posted by Half-Staff Alerts Staff on Sep 06, 2023August 28, 2023  - September 6, 2023 - Half Staff Alert - TennesseeBy order of the Governor, flags over the Tennessee State Capitol and all State office buildings shall be lowered to half-staff beginning sunrise on August 28, 2023 until further notice, in memory of T
                    …Continue Reading"
102,Georgia,31-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 31, 2023September 2, 2023 - Half Staff Alert - GeorgiaGovernor Kemp ordered U.S. & Georgia flags to half-staff at the State Capitol, Sanford Stadium, and in Athens-Clark & Chatham counties September 2, 2023 to honor Frank W. ""Sonny"" Seiler.
                    …Continue Reading"
103,Utah,31-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 31, 2023August 31, 2023 - Half-Staff Alert - UtahUtah Gov. Spencer J. Cox has issued an order for the flags of the United States of America and the great state of Utah to be flown at half-staff on all state facilities in recognition of Overdose Awar
                    …Continue Reading"
104,Maryland,30-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 30, 2023August 31, 2023 - Half-Staff Alert - MarylandThis is to advise that Governor Wes
Moore has ordered the Maryland Flag lowered to half-staff from sunrise
to sunset, Thursday, August 31, 2023, for International Overdose Awareness Day.
This day a
                    …Continue Reading"
105,Kentucky,30-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 30, 2023August 31, 2023 - Half-Staff Alert - KentuckyGov. Andy Beshear has directed that
flags at all state office buildings be lowered to half-staff from sunrise until
sunset on Thursday, Aug. 31, in observance of Overdose Awareness Day in
Kentucky.
                    …Continue Reading"
106,Ohio,30-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 30, 2023August 31, 2023 - Half-Staff Alert - OhioOhio
Governor Mike DeWine will observe Ohio’s third annual Overdose Awareness Day on
Thursday, Aug. 31. Established in 2021 by Senate Bill 30, Ohio Overdose Awareness Day
aims to raise public aware
                    …Continue Reading"
107,Delaware,30-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 30, 2023August 31, 2023 - Half-Staff Alert - DelawareGovernor John Carney has ordered the Delaware flag to be lowered to half-staff at all state facilities on Thursday, August 31, 2023, from sunrise to sunset, in recognition of International Overdose Aw
                    …Continue Reading"
108,Pennsylvania,25-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 25, 2023August 22-25, 2023 - Half-Staff Alert - PennsylvaniaGovernor Shapiro ordered Pennsylvania flags at the state capitol to half-staff August 22, 2023 to honor firefighter and first responder Shawn Giles.UPDATE:Governor Josh Shapiro has ordered the US
                    …Continue Reading"
109,Arizona,24-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 24, 2023August 24, 2023 - Half-Staff Alert - ArizonaGovernor Katie Hobbs has ordered flags at all state buildings be lowered to half staff from sunrise to sunset Thursday, August 24, 2023 in honor of IRS Special Agent Patrick Bauer, who died after bein
                    …Continue Reading"
110,Massachusetts,23-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 23, 2023August 26, 2023 - Half Staff Alert - MassachusettsPlease be advised that Massachusetts Governor Maura T. Healey has ordered that the United States of America Flag and the Commonwealth of Massachusetts flag be lowered to half-staff at all state buildi
                    …Continue Reading"
111,Wisconsin,21-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 21, 2023August 23, 2023 - Half-Staff Alert - WisconsinGovernor Evers ordered U.S. & Wisconsin flags to half-staff August 23, 2023 to honor U.S. Army Corporal Donald L. ""Donny"" DuPont who lost his life in the Korean War.Gov. Tony Evers signed Executiv
                    …Continue Reading"
112,Pennsylvania,18-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 18, 2023August 11-18, 2023 - Half-Staff Alert - PennsylvaniaToday,
Governor Josh Shapiro ordered US and Commonwealth flags on all Commonwealth
facilities, public buildings, and grounds across Pennsylvania to immediately
fly at half-staff in honor of Former
                    …Continue Reading"
113,Indiana,18-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 18, 2023August 19, 2023 - Half-Staff Alert - IndianaGovernor Eric J. Holcomb is directing flags to be flown at half-staff in Starke and Pulaski Counties in honor and remembrance of Michael Ray Wilcox, Jr. Wilcox was on shift as an EMT when he passed aw
                    …Continue Reading"
114,Hawaii,16-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 16, 2023August 16-18, 2023 - Half Staff Alert - NebraskaToday, Governor Jim Pillen, announced that all U.S. and Nebraska flags are to be flown at half-staff immediately to honor the victims of the deadly wildfires in Maui, Hawaii.Flags are to be flown at h
                    …Continue Reading"
115,Nebraska,16-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 16, 2023August 16-18, 2023 - Half Staff Alert - NebraskaToday, Governor Jim Pillen, announced that all U.S. and Nebraska flags are to be flown at half-staff immediately to honor the victims of the deadly wildfires in Maui, Hawaii.Flags are to be flown at h
                    …Continue Reading"
116,Wisconsin,11-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 11, 2023August 12, 2023 - Half-Staff Alert - WisconsinGov. Tony Evers today signed Executive Order #209 ordering the flags of the United States and the state of Wisconsin to be flown at half-staff on Sat., Aug. 12, 2023, in honor of Lance Corporal Tanner
                    …Continue Reading"
117,Pennsylvania,11-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 11, 2023August 7-11, 2023 - Half-Staff Alert - PennsylvaniaToday, In accordance with the United States Flag Code, Governor Josh Shapiro ordered the United States and Commonwealth flags on all Commonwealth facilities, public buildings, and grounds in McKean Co
                    …Continue Reading"
118,Kansas,10-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 10, 2023August 14, 2023 - Half Staff Alert - KansasIn
accordance with Executive Order 20-30, Governor Laura Kelly directs flags be
flown at half-staff at all state grounds, buildings, and facilities from sunup
to sundown on Monday, August 14,
2023
                    …Continue Reading"
119,Oregon,9-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 09, 2023August 9-10, 2023 - Half Staff Alert - OregonGovernor
Tina Kotek today ordered all flags at Oregon public institutions to be flown at
half-staff until sunset August 10 to honor Rogue River-Siskiyou National Forest
Service Firefighter Benjamin
                    …Continue Reading"
120,Alabama,8-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 08, 2023August 8, 2023 - Half Staff Alert - AlabamaGovernor Ivey ordered flags to half-staff in the city of Vestavia Hills August 8, 2023 to honor Police Chief Danny P. Rary."
121,California,7-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 07, 2023August 07, 2023 - Half Staff Alert - CaliforniaGovernor Gavin Newsom has ordered the lowering of the U.S. and California State Flags at the State Capitol and Capitol Annex Swing Space in tribute to the fallen firefighters and helicopter pilot in R
                    …Continue Reading"
122,Indiana,7-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 07, 2023August 08, 2023 - Half-Staff Alert - IndianaGovernor Eric J. Holcomb is directing flags to be flown at half-staff in Johnson County in honor and remembrance of Johnson County Sheriff’s Deputy Timothy J. Guyer. Deputy Guyer died in the line of d
                    …Continue Reading"
123,Tennessee,1-Aug-23,"Posted by Half-Staff Alerts Staff on Aug 01, 2023August 2, 2023 - Half Staff Alert - TennesseeBy order of the Governor and in accordance with the Honoring Hometown Heroes Act, flags over the Tennessee State Capitol and in Macon County shall be flown at half-staff from sunrise until sunset on W
                    …Continue Reading"
124,California,30-Jul-23,"Posted by Half-Staff Alerts Staff on Jul 30, 2023July 30, 2023 - Half Staff Alert - CaliforniaGovernor Gavin Newsom today issued the following statement regarding the death of Recruit Alejandro Martinez of the Los Angeles County Sheriff’s Department: “Jennifer and I are heartbroken by the
                    …Continue Reading"
125,Arkansas,28-Jul-23,"Posted by Half-Staff Alerts Staff on Jul 28, 2023July 28, 2023 - Half-Staff Alert - ArkansasGovernor Huckabee Sanders has ordered the lowering of the U.S. and Arkansas State Flags to be lowered from sunrise to sunset on Friday July 28, 2023 in respect for the passing of state treasurer Mark
                    …Continue Reading"
