,Unnamed: 0,Name,Won,Year,Latitude,Longitude,isPartial
110,122,"Buc-ees New Braunfels, Texas",Yes,2012,29.726334,-98.0783334,TRUE
111,123,Radisson Blu Aqua Hotel,No,2012,41.88658,-87.6201552,TRUE
112,124,Liberty Market,No,2012,31.5105829,74.3444508,
113,125,Lane Stadium at Virginia Tech,No,2012,37.2199873,-80.4180643,TRUE
114,126,Hollywood Bowl,No,2012,34.112224,-118.3391279,TRUE
115,128,"The Field Museum Chicago, IL",Yes,2011,41.866261,-87.6169805,TRUE
116,129,The Scottsdale Center for the Performing Arts,No,2011,33.4920692,-111.922409,TRUE
117,130,Snowbasin Ski Resort,No,2011,41.2006148,-111.8614496,TRUE
118,131,Renaissance Arlington Capital View Hotel,No,2011,38.8478104,-77.0514267,TRUE
119,132,Don’s John’s Presidential Luxury Restroom Trailer,No,2011,38.3031837,-77.4605399,TRUE
120,134,"The Fountain on Locust St. Louis, Missouri",Yes,2010,38.6361553,-90.2230418,TRUE
121,135,The Muse Hotel,No,2010,40.7577985,-73.9837623,TRUE
122,136,Grand America Hotel,No,2010,40.7573321,-111.8907499,TRUE
123,137,Embassy Theatre,No,2010,41.0757369,-85.1397624,TRUE
124,138,Bryant Park,No,2010,40.7535965,-73.9832326,TRUE
125,140,"The Shoji Tabuchi Theater Branson, Missouri",Yes,2009,36.6534297,-93.2823404,TRUE
126,141,"Zeffirino Ristorante Venetian Resort, Hotel & Casino",No,2009,36.1221154,-115.1694607,TRUE
127,142,The Tremont Plaza Hotel,No,2009,0,0,TRUE
128,143,The Drake Hotel Palm Court,No,2009,41.9004365,-87.6234056,TRUE
129,144,Radio City Music Hall,No,2009,40.759976,-73.9799772,TRUE
130,146,"The Hermitage Hotel Nashville, Tennessee",Yes,2008,36.1637611,-86.7823611,TRUE
131,147,The Signature Room at the 95th,No,2008,41.8989565,-87.6234079,TRUE
132,148,Smith College Museum of Art,No,2008,42.318502,-72.6363775,TRUE
133,149,Brio Restaurant,No,2008,0,0,TRUE
134,150,21C Museum Hotel,No,2008,38.6316145,-90.2024748,TRUE
135,152,"Jungle Jims International Market Fairfield, Ohio",Yes,2007,39.3354869,-84.5253006,TRUE
136,153,Vermont Marble Museum,No,2007,43.6630413,-73.0351007,TRUE
137,154,Mix Lounge at Mandalay Bay,No,2007,36.0921847,-115.1748583,TRUE
138,155,Fandangles’ Restaurant,No,2007,33.759,-84.383167,TRUE
139,156,Catch 31,No,2007,36.8592025,-75.9777478,TRUE
140,158,"Wendells Restaurant Westerville, Ohio",Yes,2006,40.150444,-82.9224319,TRUE
141,159,Quad City International Airport,No,2006,41.4496341,-90.5082706,TRUE
142,160,Hemenway’s,No,2006,41.8242135,-71.4069133,TRUE
143,161,Borgata Hotel Casino and Spa,No,2006,39.3783214,-74.4352672,TRUE
144,162,All Season’s Bistro,No,2006,0,0,TRUE
145,164,"Fort Smith Regional Airport Fort Smith, Arkansas",Yes,2005,35.3375476,-94.3656122,TRUE
146,165,The Madonna Inn,No,2005,35.2674132,-120.6746599,TRUE
147,166,Columbia Tower Club,No,2005,47.6045065,-122.3304838,TRUE
148,167,Blue Gate Restaurant,No,2005,41.6766789,-85.5804411,TRUE
149,168,Associated Travel Group,No,2005,0,0,TRUE
150,170,"Kohler Art Center Sheboygen, Wisconsin",Yes,2004,43.7525124,-87.710426,TRUE
151,171,"Wall USA, Inc",No,2004,37.09024,-95.712891,TRUE
152,172,Waffle House of America,No,2004,42.2177382,-86.0546978,TRUE
153,173,Olivia’s Circle Fitness Center,No,2004,35.245526,-78.3536625,TRUE
154,174,Art Chicks Club,No,2004,41.0015936,-96.1653536,TRUE
155,176,"The Grand Casino Biloxi, Mississippi",Yes,2003,30.3926522,-88.8659608,TRUE
156,177,Yavneh Day School,No,2003,37.2529816,-121.9613769,TRUE
157,178,Summit Restaurant,No,2003,39.2085996,-84.3675668,TRUE
158,179,Madonna Manor Hotel,No,2003,35.2674132,-120.6772348,TRUE
159,180,CJ’s 19th Hole,No,2003,40.412905,-75.380021,TRUE
160,182,University of Notre Dame,Yes,2002,41.7050504,-86.2355439,TRUE
161,183,Lee Davis Texaco,No,2002,37.6168398,-77.3399402,TRUE
162,184,Lazarus Oxmoor Center,No,2002,38.2474931,-85.610378,TRUE
163,185,Columbia Tower Club,No,2002,47.6045065,-122.3304838,TRUE
164,186,Bon Marche Department Store,No,2002,48.851189,2.324446,TRUE
